City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
14,Santa Maria,BR,60.1,clear sky,-29.6842,-53.8069,Hotel Morotin
26,Sitka,US,62.49,light rain,57.0531,-135.33,Westmark Sitka
68,Saint-Junien,FR,61.52,overcast clouds,45.8833,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
81,Beloha,MG,62.53,broken clouds,-25.1667,45.05,
83,Luderitz,,61.27,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
94,Iquique,CL,60.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
96,Kaa-Khem,RU,61.14,light rain,51.6833,94.7333,
97,Port Elizabeth,ZA,62.89,scattered clouds,-33.918,25.5701,39 On Nile Guest House
104,Mar Del Plata,AR,64.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
106,Reftinskiy,RU,63.0,broken clouds,57.0901,61.6769,Motel Comfort
116,Dalhousie,IN,61.45,scattered clouds,32.5333,75.9833,Hotel Mount View
121,Lianran,CN,61.34,clear sky,24.9227,102.485,半岛酒店
123,Udachnyy,RU,61.02,few clouds,66.4167,112.4,Severnoye Siyaniye
169,Calais,FR,61.75,clear sky,50.9167,1.8333,Cottage Hôtel Restaurant
187,Khawhai,IN,60.69,overcast clouds,23.3667,93.1167,Homestay Khawhai
214,Ilhabela,BR,62.74,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
232,Sovetskiy,RU,64.18,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
239,Prince Rupert,CA,60.89,moderate rain,54.3161,-130.3201,Crest Hotel
245,Omurtag,BG,62.55,scattered clouds,43.1,26.4167,Zamak Inter Hotel
252,Yellowknife,CA,64.33,overcast clouds,62.456,-114.3525,The Explorer Hotel
292,Kokkola,FI,61.93,clear sky,63.8385,23.1307,Hotel Kokkola
297,Pervomayskiy,RU,63.12,overcast clouds,53.2485,40.2871,
299,Helong,CN,64.18,broken clouds,42.5397,128.9972,Helong Hotel
327,Oranjemund,,60.35,clear sky,-28.55,16.4333,The Fisherman's Cove
342,Opuwo,,60.67,clear sky,-18.0607,13.84,ABBA Guesthouse
345,Arkhangelsk,RU,60.91,few clouds,64.5401,40.5433,DVINA HOTEL
347,Mareeba,AU,61.45,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
349,Pershotravneve,UA,60.94,overcast clouds,51.3929,28.8684,Kempinh
357,Baykit,RU,61.66,broken clouds,61.67,96.37,
376,Tula,RU,62.04,few clouds,54.2044,37.6111,София
390,Kunzelsau,DE,62.76,overcast clouds,49.2819,9.6889,Schlosshotel Ingelfingen
401,Talcahuano,CL,62.28,clear sky,-36.7167,-73.1167,departamento comodo
406,Batagay-Alyta,RU,60.8,broken clouds,67.8006,130.4114,
415,Kastamonu,TR,62.74,clear sky,41.5,33.6667,
421,Margate,GB,60.31,clear sky,51.3813,1.3862,Premier Inn Margate hotel
425,Hohhot,CN,64.69,few clouds,40.8106,111.6522,Sheraton Hohhot Hotel
437,Zheleznodorozhnyy,RU,64.36,few clouds,55.7503,38.0042,Hotel Dali
465,Khrystynivka,UA,62.92,scattered clouds,48.8249,29.9681,Будинок Відпочинку
467,Naryan-Mar,RU,64.9,overcast clouds,67.6713,53.087,Hostel Agat
483,Kawambwa,ZM,61.97,clear sky,-9.7915,29.0791,"Uphill Country Lodge, Kawambwa"
489,Veseloyarsk,RU,63.28,scattered clouds,51.2836,81.1056,
494,Klyuchi,RU,64.63,broken clouds,52.2667,79.1667,Vesolaya Mayovka
496,Mikhaylov,RU,62.19,broken clouds,54.2292,39.0186,Gostinitsa
524,Beauvais,FR,62.76,broken clouds,49.4167,2.0,LA GRANGE DE GEORGES
528,Bundaberg,AU,62.22,overcast clouds,-24.85,152.35,Takalvan Motel
537,Chicama,PE,64.94,clear sky,-7.8447,-79.1469,Balihai Bungalows
568,Camenca,MD,63.09,few clouds,48.0319,28.6978,Vila Dora
580,Balmullo,GB,62.53,broken clouds,56.3769,-2.9294,Drumoig Golf Hotel
590,Mwense,ZM,63.7,clear sky,-10.3845,28.698,Mwense Council Guest House
592,Mackay,AU,62.04,clear sky,-21.15,149.2,International Lodge Motel
595,Vila,PT,62.74,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
599,Aykhal,RU,60.17,few clouds,66.0,111.5,
602,Portsmouth,GB,63.0,overcast clouds,50.799,-1.0913,Best Western Royal Beach Hotel
603,Kariba,ZW,62.55,clear sky,-16.5167,28.8,Caribbea Bay Hotel
608,Ulaangom,MN,62.94,broken clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
614,Les Herbiers,FR,60.51,overcast clouds,46.8667,-1.0167,Maison Marie Barrault
615,Pavelets,RU,62.58,scattered clouds,53.7883,39.246,
621,Ergolding,DE,61.66,light rain,48.5833,12.1667,Hotel Lifestyle
631,Taltal,CL,62.19,few clouds,-25.4,-70.4833,Residencial Karime
651,Hovd,MN,64.0,clear sky,48.0056,91.6419,Hotel Khovd
652,Igrim,RU,61.36,scattered clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
667,Sharanga,RU,63.9,light rain,57.1775,46.5396,Yuronga
677,San Carlos De Bariloche,AR,60.55,clear sky,-41.1456,-71.3082,Hotel Patagonia
679,Roebourne,AU,61.77,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
680,Aykino,RU,62.01,overcast clouds,62.2248,49.9922,Gostinitsa
685,Shatrovo,RU,61.09,clear sky,56.5167,64.6333,
687,Vasterhaninge,SE,60.62,scattered clouds,59.1167,18.1,Viamap
689,Lasa,IT,61.68,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
697,Livingston,GB,61.21,clear sky,55.9029,-3.5226,"Premier Inn Livingston (M8, Jct3) hotel"
701,Krapivinskiy,RU,62.24,overcast clouds,54.9992,86.8133,
